"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Gardner Minshew II","ARI","22.9","14.3","147.8","0.8","0.3","2.4","8.8","0.0","0.1","9.7"
"","high","24.0","15.0","154.0","1.0","0.0","4.0","15.0","0.0","0.0","8.0"
"","low","21.7","13.6","141.5","0.6","0.6","0.9","2.6","0.0","0.2","7.1"
"Cade Klubnik","NYJ","20.6","13.0","136.9","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"","high","25.0","16.0","177.0","1.0","0.0","2.0","9.0","0.1","0.0","12.0"
"","low","15.0","10.0","90.0","0.8","1.0","1.5","6.7","0.0","0.2","7.0"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"","high","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","8.0"
"","low","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","8.0"
"Kyle Allen","BUF","21.0","12.4","138.4","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"","high","26.0","16.0","181.0","1.0","0.0","3.0","6.0","0.0","0.0","11.8"
"","low","15.0","8.0","96.0","0.9","1.0","1.1","2.0","0.0","0.2","7.0"
"Mitchell Trubisky","TEN","23.3","13.5","138.6","0.8","0.4","2.6","4.8","0.0","0.1","9.0"
"","high","23.6","15.0","154.1","1.0","0.0","4.0","7.0","0.1","0.0","8.0"
"","low","23.0","12.0","123.0","0.7","0.7","1.1","2.5","0.0","0.1","7.8"
"Jalen Milroe","SEA","11.0","7.0","89.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"","high","11.0","7.0","89.0","1.0","0.0","5.0","14.0","0.0","0.0","7.0"
"","low","11.0","7.0","89.0","1.0","0.0","5.0","14.0","0.0","0.0","7.0"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"","high","25.0","16.0","181.0","1.0","0.0","5.0","22.0","0.0","0.0","13.3"
"","low","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Kyle McCord","MIA","18.2","11.7","123.9","0.8","0.8","1.6","6.8","0.0","0.1","8.0"
"","high","22.3","14.3","154.9","1.0","0.5","2.0","8.0","0.0","0.0","8.0"
"","low","14.0","9.0","93.0","0.6","1.0","1.3","5.5","0.0","0.2","5.0"
"Will Howard","PIT","13.0","8.0","93.0","0.5","0.5","1.0","3.5","0.0","0.0","5.6"
"","high","26.0","16.0","186.0","1.0","0.0","2.0","7.0","0.0","0.0","12.1"
"","low","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Mason Rudolph","PIT","10.5","6.5","67.5","0.5","0.0","2.0","8.5","0.0","0.0","5.6"
"","high","21.0","13.0","135.0","1.0","0.0","4.0","17.0","0.0","0.0","9.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","9.0","5.5","67.5","0.5","0.0","1.0","5.0","0.0","0.0","5.2"
"","high","18.0","11.0","135.0","1.0","0.0","2.0","10.0","0.0","0.0","8.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Cook","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
